USER_ID,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11,Q12,Q12S1,Q13,Q13S1,Q13S2,Q14,Q14S1,Q15,Q15S1,Q15S2,Q61,gender,age,chiiki
1522,3,1,1,8,0,75,10,10,50,50,0,75,0,10,50,30,5,5,5,5,5,8,NA,2,1,0,1,1,0,0,0,0,2,NA,NA,1,2,2,1,NA,1,2,2,4,2,68,13
1523,2,3,3,7,60,40,50,40,50,50,60,40,50,40,40,40,3,4,3,3,3,8,NA,1,0,0,0,0,0,0,0,1,6,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,2,35,4
1524,3,3,2,8,0,0,0,10,30,30,0,0,0,10,30,50,5,5,5,5,5,8,NA,8,0,0,1,0,0,0,0,0,3,NA,NA,2,NA,NA,NA,NA,1,8,7,1,2,55,23
1525,3,2,2,7,50,30,50,30,50,30,50,30,50,40,30,30,4,4,5,4,4,8,NA,4,0,0,0,0,0,1,0,0,3,NA,NA,2,NA,NA,NA,NA,1,1,1,4,1,36,23
1526,3,3,2,6,50,25,100,50,40,25,25,25,100,25,25,25,3,3,3,3,3,3,1,NA,0,0,0,0,0,1,0,0,2,NA,NA,1,3,3,1,NA,1,3,3,4,1,54,23
1527,4,NA,1,4,50,50,50,50,50,50,50,0,0,0,0,0,3,3,3,3,3,8,NA,8,0,0,0,0,0,0,0,1,1,1,1,NA,NA,NA,1,NA,1,2,7,4,2,38,14
1528,2,2,2,8,60,80,20,50,40,40,60,60,20,50,50,50,4,4,3,3,3,8,NA,8,0,0,1,0,0,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,34,27
1529,3,1,1,6,60,0,0,60,0,0,60,0,0,60,0,0,3,3,2,2,2,8,NA,1,0,0,0,0,0,1,0,0,2,NA,NA,1,1,1,1,NA,1,1,1,3,1,37,13
1530,3,3,1,7,30,20,20,30,30,30,50,30,30,30,30,30,2,2,3,4,2,1,2,NA,0,0,0,0,0,0,0,1,3,NA,NA,1,1,1,1,NA,1,1,1,3,1,50,13
1531,2,3,3,7,50,60,50,50,50,50,50,50,50,50,50,40,3,2,2,3,3,8,NA,8,0,0,0,0,0,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,26,13
1532,3,2,3,8,50,50,50,50,50,50,50,50,50,50,50,50,3,3,3,3,3,8,NA,8,0,0,0,0,0,0,0,1,3,NA,NA,2,NA,NA,NA,NA,1,1,1,2,1,21,40
1533,3,3,2,8,40,70,50,50,50,50,50,50,50,50,50,50,3,4,3,4,4,2,2,NA,0,0,0,0,0,0,0,1,3,NA,NA,2,NA,NA,NA,NA,1,5,5,4,2,24,23
1534,3,3,2,2,60,50,50,50,50,50,60,50,50,50,50,50,3,3,3,3,2,1,2,NA,0,0,0,0,0,0,0,1,3,NA,NA,1,1,3,2,4,1,1,3,3,2,55,7
1535,3,2,1,1,50,50,25,25,75,25,50,50,50,50,50,25,4,4,2,4,4,1,2,NA,0,0,0,0,0,1,0,0,2,NA,NA,2,NA,NA,NA,NA,1,1,1,3,2,39,31
1536,3,2,2,5,0,0,0,0,80,50,0,0,0,0,80,50,5,5,5,5,5,5,2,NA,1,0,1,0,0,0,0,0,2,NA,NA,1,5,5,1,NA,1,2,2,2,1,49,10
1537,3,1,1,8,0,0,0,0,50,0,0,0,0,0,50,0,5,5,4,5,5,8,NA,5,1,0,0,0,0,0,0,0,2,NA,NA,2,NA,NA,NA,NA,1,8,7,4,1,71,14
1538,3,1,1,8,0,55,0,0,0,50,50,50,0,30,20,50,3,2,3,3,3,6,2,NA,0,0,1,0,0,0,0,0,2,NA,NA,2,NA,NA,NA,NA,1,8,7,4,2,35,8
1539,3,3,2,8,30,60,20,40,50,10,30,70,20,40,50,40,4,3,3,3,4,5,2,NA,1,0,0,0,0,0,0,0,3,NA,NA,2,NA,NA,NA,NA,1,2,2,3,1,35,22
1540,3,3,1,3,50,50,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,8,NA,8,0,0,0,0,0,0,0,1,2,NA,NA,2,NA,NA,NA,NA,1,1,1,2,1,52,37
1541,3,1,1,5,0,70,40,30,60,60,40,80,30,60,70,40,5,5,3,5,5,8,NA,8,1,0,1,1,0,1,0,0,2,NA,NA,1,2,2,1,NA,2,NA,NA,4,1,61,8
1542,3,2,1,6,60,30,50,50,50,50,60,30,50,50,50,30,2,2,1,2,2,1,2,NA,0,0,0,0,0,1,0,0,2,NA,NA,1,1,1,1,NA,1,1,1,4,2,66,12
1543,3,3,3,5,40,90,0,70,0,0,50,100,0,75,0,0,5,5,4,4,4,4,2,NA,0,0,1,0,1,1,0,0,2,NA,NA,1,2,2,1,NA,1,4,4,4,1,68,14
1544,3,3,2,8,25,50,0,50,60,10,60,50,0,50,60,10,4,4,4,4,4,8,NA,1,0,0,1,0,0,1,0,0,3,NA,NA,2,NA,NA,NA,NA,1,4,1,4,1,52,23
1545,3,3,2,2,100,20,10,60,0,0,80,40,10,60,0,0,2,2,1,1,1,1,1,NA,0,0,1,0,1,1,1,0,2,NA,NA,1,1,1,1,NA,1,1,1,4,1,49,28
1546,3,3,2,7,50,45,50,50,50,50,50,50,10,50,10,10,3,3,3,3,3,1,2,NA,0,0,1,0,0,1,0,0,3,NA,NA,1,1,1,1,NA,2,NA,NA,2,1,25,1
1547,3,1,1,3,50,50,80,30,0,0,60,40,80,20,0,0,2,3,3,2,2,3,1,NA,0,0,0,1,1,1,0,0,2,NA,NA,2,NA,NA,NA,NA,1,3,3,2,2,58,8
1548,2,2,2,8,50,50,50,50,50,50,50,50,50,50,50,50,3,3,3,3,3,1,2,NA,0,0,0,0,0,0,0,1,6,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,1,36,12
1549,4,NA,1,6,70,50,50,50,50,50,60,50,50,50,50,50,3,3,3,3,3,8,NA,1,0,0,0,0,0,0,0,1,1,1,1,NA,NA,NA,1,NA,1,1,1,3,1,24,23
1550,3,2,2,8,50,50,50,50,50,50,50,50,50,50,50,50,3,3,3,3,3,8,NA,8,0,0,1,0,0,1,0,0,3,NA,NA,2,NA,NA,NA,NA,1,8,7,2,2,53,1
1551,3,2,2,5,49,75,60,49,100,70,60,50,25,30,90,30,5,5,5,5,5,1,2,NA,0,0,1,1,0,0,0,0,2,NA,NA,1,2,5,2,1,2,NA,NA,4,2,72,26
1552,3,3,1,1,70,60,70,70,50,50,80,50,80,70,40,30,1,1,1,2,2,1,1,NA,0,0,0,0,1,1,0,0,2,NA,NA,1,1,1,1,NA,1,1,1,99,1,60,13
1553,3,3,1,5,5,10,15,5,60,55,10,20,25,0,50,50,3,3,4,4,4,8,NA,5,1,1,0,1,0,0,0,0,2,NA,NA,2,NA,NA,NA,NA,1,2,5,3,2,65,44
1554,1,1,1,8,50,0,0,0,0,0,50,0,0,0,0,0,2,2,4,3,2,1,2,NA,0,1,0,0,0,0,0,0,2,NA,NA,2,NA,NA,NA,NA,1,8,7,4,1,26,28
1555,3,3,1,8,25,50,25,25,75,50,25,50,25,25,75,50,3,4,3,3,4,5,2,NA,1,1,1,1,0,1,0,0,2,NA,NA,2,NA,NA,NA,NA,1,2,2,3,1,64,3
1556,3,3,2,8,15,75,50,30,55,50,40,50,50,30,60,50,4,4,5,5,4,3,2,NA,0,0,0,0,0,1,0,0,3,NA,NA,2,NA,NA,NA,NA,1,3,3,99,2,41,40
1557,2,3,3,7,0,90,90,50,0,50,0,50,90,50,0,90,5,5,2,5,5,8,NA,7,1,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,62,29
1558,3,3,1,4,50,25,0,0,25,0,75,0,0,0,0,0,3,4,2,3,4,1,2,NA,0,0,0,0,1,1,0,0,2,NA,NA,1,1,1,1,NA,1,1,1,2,1,74,4
1559,3,3,2,1,20,50,20,20,70,30,30,20,20,10,50,20,3,3,2,2,2,5,1,NA,0,0,1,1,0,1,0,0,2,NA,NA,1,5,5,1,NA,1,2,2,3,2,64,23
1560,3,2,2,8,25,50,50,75,75,50,25,50,25,50,50,25,2,3,2,4,4,8,NA,4,0,0,0,0,0,0,0,1,2,NA,NA,2,NA,NA,NA,NA,1,4,4,3,2,40,27
1561,2,2,2,4,0,25,10,10,100,10,0,20,10,10,90,10,4,4,3,3,4,2,2,NA,1,0,0,0,0,0,0,0,3,NA,NA,1,8,5,2,1,1,2,2,3,2,64,1
1562,3,2,3,5,35,20,50,50,50,50,70,10,60,30,20,35,2,2,3,3,2,1,2,NA,0,1,0,0,0,0,0,0,3,NA,NA,1,1,1,1,NA,1,1,1,4,1,64,33
1563,3,3,1,3,100,0,30,50,0,0,100,0,10,30,0,0,1,1,1,1,1,1,1,NA,0,1,0,0,1,1,0,0,2,NA,NA,1,1,1,1,NA,1,1,1,2,1,73,40
1564,3,1,1,8,0,50,0,0,50,0,0,50,0,0,0,0,3,3,3,2,3,5,2,NA,0,0,0,0,0,1,0,0,2,NA,NA,2,NA,NA,NA,NA,1,1,1,3,2,54,11
