ID,Female,Age,Temp_Ishin
1297,1,47,60
1298,1,70,NA
1299,1,43,NA
1300,1,31,NA
1301,0,49,40
1302,1,69,10
1303,0,60,90
1304,1,30,NA
1305,1,53,40
1306,0,34,60
1307,0,29,30
1308,1,66,20
1309,0,35,30
1310,0,55,NA
1311,0,48,0
1312,1,59,50
1313,1,69,50
1314,0,54,20
1315,0,71,NA
1316,0,45,60
1317,1,31,0
1318,0,55,20
1319,0,71,0
1320,0,66,40
1321,1,23,50
1322,0,51,10
1323,0,30,30
1324,1,41,50
1325,1,33,NA
1326,0,54,70
1327,1,36,30
1328,1,42,NA
1329,0,35,50
1330,1,60,NA
1331,1,63,20
1332,1,41,70
1333,1,73,60
1334,0,36,60
1335,0,48,50
1336,1,56,NA
1337,0,57,NA
1338,1,27,NA
1339,0,66,0
1340,1,47,40
1341,1,59,NA
1342,0,40,60
1344,0,49,30
1345,1,50,NA
1346,0,63,50
1347,0,54,NA
1348,0,72,50
1349,1,65,40
1350,0,35,70
1351,0,51,70
1352,1,45,60
1353,0,53,20
1354,1,21,10
1355,1,39,70
1356,1,31,10
1357,0,33,40
1358,1,70,40
1359,1,66,NA
1360,0,46,80
1361,0,22,60
1362,1,72,30
1363,1,34,50
1364,0,49,60
1365,0,48,NA
1366,0,40,NA
1367,0,73,NA
1368,1,44,70
1369,1,60,NA
1370,1,52,100
1371,0,66,NA
1372,1,29,40
1373,1,31,0
1374,1,51,60
1375,1,66,NA
1376,0,38,40
1377,0,32,20
1378,1,25,0
1379,0,55,NA
1380,0,49,NA
1381,0,39,40
1382,1,25,NA
1383,0,61,70
1384,0,52,60
1385,1,71,60
1386,0,62,NA
1387,1,51,40
1388,0,74,NA
1389,0,71,30
1390,1,72,40
1391,1,24,NA
1392,0,75,40
1393,0,58,70
1394,1,29,NA
1395,1,49,NA
1396,1,50,NA
1397,0,59,80
1398,0,24,40
1399,0,52,70
1400,0,56,60
1401,1,39,70
1402,0,64,0
1403,1,62,NA
1404,0,39,50
1405,1,50,NA
1406,1,70,0
1407,0,42,70
1408,0,55,NA
1409,0,65,30
1410,0,22,70
1411,0,27,0
1412,1,52,NA
1413,1,79,40
1414,0,34,50
1415,0,61,50
1416,0,68,90
1417,1,51,50
1418,0,73,90
1419,1,48,60
1420,0,60,NA
1421,0,51,50
1422,0,46,NA
1423,1,61,30
1424,1,36,0
1425,0,70,NA
1426,1,37,30
1427,1,61,NA
1428,0,46,60
1429,0,41,0
1430,1,51,80
1431,1,45,50
1432,0,39,40
1433,1,48,30
1434,1,53,80
1435,1,60,NA
1436,1,40,20
1437,0,73,20
1438,1,34,NA
1439,1,64,70
1440,0,58,0
1441,1,63,40
1442,0,51,10
1443,0,66,40
1444,1,64,80
1445,0,34,70
1446,1,46,90
1447,0,44,80
1448,1,42,60
1449,0,64,NA
1450,1,64,50
1451,1,38,50
1452,1,32,60
1453,0,71,60
1454,1,48,NA
1455,1,62,NA
1456,1,46,NA
1458,0,49,NA
1459,0,59,50
1460,1,38,0
1461,0,29,NA
1462,0,24,20
1463,0,24,NA
1464,0,63,60
1465,0,36,NA
1466,0,49,0
1467,1,43,30
1468,0,36,NA
1469,0,62,70
1470,1,72,50
1471,0,61,50
1472,1,63,50
1473,1,77,80
1474,0,57,NA
1475,0,32,40
1476,0,40,NA
1477,0,57,50
1478,1,66,30
1479,1,29,60
1480,1,70,80
1481,1,65,70
1482,1,47,50
1483,1,42,50
1484,0,44,40
1485,1,59,60
1486,1,60,50
1487,1,57,0
1488,0,27,0
1489,0,32,30
1490,1,48,NA
1491,0,57,50
1492,0,42,NA
1493,1,73,0
1494,1,53,NA
1495,1,26,60
1496,0,69,20
1497,0,31,40
1498,0,25,40
1499,0,29,30
1500,1,76,NA
1501,1,26,10
1502,0,51,30
1503,1,24,50
1504,0,57,40
1505,1,33,60
1506,1,58,10
1507,0,72,50
1508,1,43,20
1509,1,65,30
1510,1,29,40
1511,1,46,NA
1512,1,61,30
1513,1,26,NA
1514,0,37,40
1515,1,21,NA
1516,1,60,60
1517,1,32,60
1518,1,71,60
1519,1,40,70
1520,0,59,0
1521,1,51,20
1522,1,25,20
1523,0,77,40
1524,1,27,70
1525,1,23,10
1526,0,59,NA
1527,1,55,40
1528,1,30,NA
1529,1,31,NA
1530,1,76,90
1531,1,39,NA
1532,0,31,40
1533,1,70,30
1534,0,47,70
1535,1,34,NA
1536,0,42,NA
1537,0,51,100
1538,0,59,0
1539,0,73,60
1540,0,60,30
1541,1,35,NA
1542,1,74,80
1543,1,23,NA
1544,0,71,20
1545,0,43,50
1546,1,55,NA
1547,1,66,40
1548,0,74,60
1549,0,74,0
1550,1,58,40
